date,price,buy_volume,sell_volume,sum_buy,sum_sell,sum_volume
Sun Jan 14 22:54:10 2018,1333.89,0,0,0,0,0
Sun Jan 14 22:49:10 2018,1330.67,0,0,0,0,0
Sun Jan 14 22:44:09 2018,1332.68,1,0,1332.68,0,1
Sun Jan 14 22:39:10 2018,1331.95,1,0,1331.95,0,1
Sun Jan 14 22:34:09 2018,1331.88,0,0,0,0,0
Sun Jan 14 22:29:09 2018,1326.76,0,0,0,0,0
Sun Jan 14 22:24:09 2018,1324.17,0,0,0,0,0
Sun Jan 14 22:19:09 2018,1325.48,1,0,1325.48,0,1
Sun Jan 14 22:14:11 2018,1316.44,0,0,0,0,0
Sun Jan 14 22:09:10 2018,1305.96,0,0,0,0,0
Sun Jan 14 22:04:11 2018,1302.06,0,0,0,0,0
Sun Jan 14 21:59:09 2018,1302.55,0,0,0,0,0
Sun Jan 14 21:54:09 2018,1302.55,0,0,0,0,0
Sun Jan 14 21:49:09 2018,1302.19,0,1,0,1302.19,-1
Sun Jan 14 21:44:10 2018,1307.01,0,0,0,0,1
Sun Jan 14 21:39:09 2018,1314.37,0,0,0,0,0
Sun Jan 14 21:34:10 2018,1319.46,0,0,0,0,0
Sun Jan 14 21:29:10 2018,1319.15,0,0,0,0,0
Sun Jan 14 21:24:09 2018,1318.18,0,1,0,1318.18,-1
Sun Jan 14 21:19:10 2018,1320.35,0,1,0,1320.35,0
Sun Jan 14 21:14:09 2018,1328.99,0,1,0,1328.99,0
Sun Jan 14 21:09:08 2018,1335.07,0,1,0,1335.07,0
Sun Jan 14 21:04:09 2018,1338.19,0,0,0,0,1
Sun Jan 14 20:59:09 2018,1339.42,0,0,0,0,0
Sun Jan 14 20:54:08 2018,1340.23,0,0,0,0,0
Sun Jan 14 20:49:10 2018,1335.58,0,1,0,1335.58,-1
Sun Jan 14 20:44:08 2018,1335.66,0,1,0,1335.66,0
Sun Jan 14 20:39:10 2018,1339.67,0,1,0,1339.67,0
Sun Jan 14 20:34:09 2018,1340.55,0,1,0,1340.55,0
Sun Jan 14 20:29:10 2018,1346.22,0,0,0,0,1
Sun Jan 14 20:24:09 2018,1351.31,0,0,0,0,0
Sun Jan 14 20:19:10 2018,1358.45,0,0,0,0,0
Sun Jan 14 20:14:10 2018,1356.3,0,0,0,0,0
Sun Jan 14 20:09:09 2018,1356.45,0,0,0,0,0
Sun Jan 14 20:04:09 2018,1355.91,0,1,0,1355.91,-1
Sun Jan 14 19:59:09 2018,1359.73,0,1,0,1359.73,0
Sun Jan 14 19:54:09 2018,1361.37,0,0,0,0,1
Sun Jan 14 19:49:09 2018,1362.07,0,0,0,0,0
Sun Jan 14 19:44:09 2018,1362.8,1,0,1362.8,0,1
Sun Jan 14 19:39:10 2018,1359.19,0,0,0,0,0
Sun Jan 14 19:34:10 2018,1350.48,0,0,0,0,0
Sun Jan 14 19:29:09 2018,1350.21,0,0,0,0,0
Sun Jan 14 19:24:09 2018,1354.72,0,0,0,0,0
Sun Jan 14 19:19:10 2018,1350.49,0,0,0,0,0
Sun Jan 14 19:14:09 2018,1348.58,0,0,0,0,0
Sun Jan 14 19:09:10 2018,1350.46,1,0,1350.46,0,1
Sun Jan 14 19:04:10 2018,1349.03,1,0,1349.03,0,1
Sun Jan 14 18:59:10 2018,1347.63,0,0,0,0,0
Sun Jan 14 18:54:10 2018,1345.72,0,0,0,0,0
Sun Jan 14 18:49:09 2018,1345.16,0,0,0,0,0
Sun Jan 14 18:44:10 2018,1345.63,0,0,0,0,0
Sun Jan 14 18:39:10 2018,1346.12,1,0,1346.12,0,1
Sun Jan 14 18:34:10 2018,1344.74,0,0,0,0,0
Sun Jan 14 18:29:09 2018,1343.46,0,0,0,0,0
Sun Jan 14 18:24:09 2018,1343.39,0,1,0,1343.39,-1
Sun Jan 14 18:19:09 2018,1344.63,0,1,0,1344.63,0
Sun Jan 14 18:14:10 2018,1352.23,0,0,0,0,1
Sun Jan 14 18:09:09 2018,1358.55,0,0,0,0,0
Sun Jan 14 18:04:09 2018,1365.6,0,0,0,0,0
Sun Jan 14 17:59:10 2018,1364.35,0,1,0,1364.35,-1
Sun Jan 14 17:54:09 2018,1365.61,0,1,0,1365.61,0
Sun Jan 14 17:49:10 2018,1370.99,0,0,0,0,1
Sun Jan 14 17:44:10 2018,1375.68,0,0,0,0,0
Sun Jan 14 17:39:09 2018,1376.98,1,0,1376.98,0,1
Sun Jan 14 17:34:09 2018,1374.68,1,0,1374.68,0,1
Sun Jan 14 17:29:09 2018,1373.28,1,0,1373.28,0,1
Sun Jan 14 17:24:09 2018,1370.18,1,0,1370.18,0,1
Sun Jan 14 17:19:09 2018,1367.04,0,0,0,0,0
Sun Jan 14 17:14:09 2018,1365.7,0,0,0,0,0
Sun Jan 14 17:09:09 2018,1364.07,0,0,0,0,0
Sun Jan 14 17:04:10 2018,1364.5,1,0,1364.5,0,1
Sun Jan 14 16:59:10 2018,1362.86,1,0,1362.86,0,1
Sun Jan 14 16:54:10 2018,1359.89,0,0,0,0,0
Sun Jan 14 16:49:10 2018,1358.63,0,0,0,0,0
Sun Jan 14 16:44:09 2018,1357.15,0,0,0,0,0
Sun Jan 14 16:39:10 2018,1364.51,0,0,0,0,0
Sun Jan 14 16:34:10 2018,1366.19,0,0,0,0,0
Sun Jan 14 16:29:09 2018,1365.13,0,0,0,0,0
Sun Jan 14 16:24:09 2018,1363.15,0,1,0,1363.15,-1
Sun Jan 14 16:19:09 2018,1365.84,0,1,0,1365.84,0
Sun Jan 14 16:14:09 2018,1367.98,0,1,0,1367.98,0
Sun Jan 14 16:09:09 2018,1370.17,0,1,0,1370.17,0
Sun Jan 14 16:04:09 2018,1372.41,0,1,0,1372.41,0
Sun Jan 14 15:59:09 2018,1374.26,0,0,0,0,1
Sun Jan 14 15:54:10 2018,1375.64,0,0,0,0,0
Sun Jan 14 15:49:10 2018,1376.62,0,0,0,0,0
Sun Jan 14 15:44:10 2018,1375.66,0,0,0,0,0
Sun Jan 14 15:39:10 2018,1374.77,0,0,0,0,0
Sun Jan 14 15:34:10 2018,1377.7,1,0,1377.7,0,1
Sun Jan 14 15:29:10 2018,1377.25,1,0,1377.25,0,1
Sun Jan 14 15:24:10 2018,1370.55,1,0,1370.55,0,1
Sun Jan 14 15:19:11 2018,1366.63,1,0,1366.63,0,1
Sun Jan 14 15:14:08 2018,1362.87,1,0,1362.87,0,1
Sun Jan 14 15:09:09 2018,1359.99,1,0,1359.99,0,1
Sun Jan 14 15:04:10 2018,1355.35,0,0,0,0,0
Sun Jan 14 14:59:09 2018,1349.42,0,0,0,0,0
Sun Jan 14 14:54:09 2018,1345.31,0,0,0,0,0
Sun Jan 14 14:49:10 2018,1346.66,0,0,0,0,0
Sun Jan 14 14:44:10 2018,1346.78,0,0,0,0,0
Sun Jan 14 14:39:10 2018,1345.1,0,0,0,0,0
Sun Jan 14 14:34:09 2018,1343.84,0,1,0,1343.84,-1
Sun Jan 14 14:29:09 2018,1344.5,0,1,0,1344.5,0
Sun Jan 14 14:24:09 2018,1348.57,0,0,0,0,1
Sun Jan 14 14:19:10 2018,1362.78,0,0,0,0,0
Sun Jan 14 14:14:10 2018,1369.42,1,0,1369.42,0,1
Sun Jan 14 14:09:09 2018,1366.26,0,0,0,0,0
Sun Jan 14 14:04:09 2018,1364.14,0,0,0,0,0
Sun Jan 14 13:59:09 2018,1359.29,0,0,0,0,0
Sun Jan 14 13:54:10 2018,1359.8,0,0,0,0,0
Sun Jan 14 13:49:09 2018,1358.78,0,1,0,1358.78,-1
Sun Jan 14 13:44:09 2018,1365.43,0,1,0,1365.43,0
Sun Jan 14 13:39:09 2018,1381.46,0,1,0,1381.46,0
Sun Jan 14 13:34:10 2018,1384.9,0,1,0,1384.9,0
