date,price
Sun Jan 14 15:29:21 2018,14041.9
Sun Jan 14 15:24:21 2018,14023.7
Sun Jan 14 15:19:20 2018,14001
Sun Jan 14 15:14:21 2018,14005.4
Sun Jan 14 15:09:21 2018,13995.4
Sun Jan 14 15:04:21 2018,13986.2
Sun Jan 14 14:59:21 2018,13916
Sun Jan 14 14:54:22 2018,13895.3
Sun Jan 14 14:49:21 2018,13939
Sun Jan 14 14:44:21 2018,13944
Sun Jan 14 14:39:22 2018,13879.7
Sun Jan 14 14:34:21 2018,13882.5
Sun Jan 14 14:29:21 2018,13915
Sun Jan 14 14:24:22 2018,13922.9
Sun Jan 14 14:19:20 2018,14051.2
Sun Jan 14 14:14:21 2018,14080.4
Sun Jan 14 14:09:21 2018,14068.2
Sun Jan 14 14:04:21 2018,14036.8
Sun Jan 14 13:59:20 2018,14059.1
Sun Jan 14 13:54:21 2018,14046.6
Sun Jan 14 13:49:21 2018,14036.6
Sun Jan 14 13:44:21 2018,14132.2
Sun Jan 14 13:39:20 2018,14243.7
Sun Jan 14 13:34:21 2018,14280.1
Sun Jan 14 13:29:21 2018,14307.7
Sun Jan 14 13:24:22 2018,14342.4
Sun Jan 14 13:19:22 2018,14392.9
Sun Jan 14 13:14:21 2018,14433.2
Sun Jan 14 13:09:21 2018,14409.6
Sun Jan 14 13:04:22 2018,14403.7
Sun Jan 14 12:59:21 2018,14395.3
Sun Jan 14 12:54:22 2018,14384.7
Sun Jan 14 12:49:22 2018,14361.5
Sun Jan 14 12:44:22 2018,14385.9
Sun Jan 14 12:39:22 2018,14364.4
Sun Jan 14 12:34:22 2018,14383.5
Sun Jan 14 12:29:22 2018,14380.4
Sun Jan 14 12:24:22 2018,14388.5
Sun Jan 14 12:19:22 2018,14376.9
Sun Jan 14 12:14:22 2018,14345.1
Sun Jan 14 12:09:22 2018,14356
Sun Jan 14 12:04:22 2018,14362
Sun Jan 14 11:59:22 2018,14360.4
Sun Jan 14 11:54:22 2018,14368.9
Sun Jan 14 11:49:21 2018,14363.6
Sun Jan 14 11:44:22 2018,14342.5
Sun Jan 14 11:39:22 2018,14331.9
Sun Jan 14 11:34:22 2018,14404.6
Sun Jan 14 11:29:21 2018,14487
Sun Jan 14 11:24:21 2018,14474.7
Sun Jan 14 11:19:22 2018,14458.7
Sun Jan 14 11:14:21 2018,14461.5
Sun Jan 14 11:09:21 2018,14475
Sun Jan 14 11:04:22 2018,14476
Sun Jan 14 10:59:21 2018,14470.6
Sun Jan 14 10:54:21 2018,14467.5
Sun Jan 14 10:49:22 2018,14489
Sun Jan 14 10:44:21 2018,14510.2
Sun Jan 14 10:39:22 2018,14493.1
Sun Jan 14 10:34:21 2018,14482.2
Sun Jan 14 10:29:21 2018,14511.8
Sun Jan 14 10:24:22 2018,14457.2
Sun Jan 14 10:19:21 2018,14432.1
Sun Jan 14 10:14:20 2018,14417.8
Sun Jan 14 10:09:22 2018,14418.7
Sun Jan 14 10:04:22 2018,14409.9
Sun Jan 14 09:59:22 2018,14417.1
Sun Jan 14 09:54:22 2018,14400.1
Sun Jan 14 09:49:22 2018,14355.1
Sun Jan 14 09:44:21 2018,14347.8
Sun Jan 14 09:39:21 2018,14397.2
Sun Jan 14 09:34:22 2018,14377
Sun Jan 14 09:29:21 2018,14334.7
Sun Jan 14 09:24:22 2018,14363.4
Sun Jan 14 09:19:21 2018,14343.8
Sun Jan 14 09:14:21 2018,14383.6
Sun Jan 14 09:09:22 2018,14369.7
Sun Jan 14 09:04:21 2018,14370.8
Sun Jan 14 08:34:21 2018,14361.1
Sun Jan 14 08:29:21 2018,14377.1
Sun Jan 14 08:24:22 2018,14398.7
Sun Jan 14 08:19:21 2018,14409.2
Sun Jan 14 08:14:21 2018,14420.3
Sun Jan 14 08:09:22 2018,14431.2
Sun Jan 14 08:04:21 2018,14456.8
Sun Jan 14 07:59:21 2018,14448.2
Sun Jan 14 07:54:22 2018,14478.9
Sun Jan 14 07:49:21 2018,14461.6
Sun Jan 14 07:44:22 2018,14409.6
Sun Jan 14 07:39:21 2018,14388.6
Sun Jan 14 07:34:22 2018,14375
Sun Jan 14 07:29:21 2018,14384.8
Sun Jan 14 07:24:21 2018,14395.1
Sun Jan 14 07:19:21 2018,14367.7
Sun Jan 14 07:14:21 2018,14337.4
Sun Jan 14 07:09:22 2018,14380
Sun Jan 14 07:04:20 2018,14351.4
Sun Jan 14 06:59:20 2018,14363.1
Sun Jan 14 06:54:22 2018,14389
Sun Jan 14 06:49:21 2018,14428.9
Sun Jan 14 06:44:21 2018,14398
Sun Jan 14 06:39:21 2018,14345.5
Sun Jan 14 06:34:21 2018,14361.1
Sun Jan 14 06:29:21 2018,14307
Sun Jan 14 06:24:22 2018,14281.9
Sun Jan 14 06:19:22 2018,14304.7
Sun Jan 14 06:14:22 2018,14326.9
Sun Jan 14 06:09:22 2018,14382.4
Sun Jan 14 06:04:22 2018,14382.7
Sun Jan 14 05:59:21 2018,14383.9
Sun Jan 14 05:54:20 2018,14376.6
Sun Jan 14 05:49:22 2018,14393.7
Sun Jan 14 05:44:22 2018,14388.7
Sun Jan 14 05:39:22 2018,14364.7
Sun Jan 14 05:34:21 2018,14385
Sun Jan 14 05:29:21 2018,14369.6
Sun Jan 14 05:24:21 2018,14389
Sun Jan 14 05:19:21 2018,14379.1
Sun Jan 14 05:14:22 2018,14350.3
Sun Jan 14 05:09:22 2018,14318
Sun Jan 14 05:04:23 2018,14306.7
Sun Jan 14 04:59:22 2018,14306.2
Sun Jan 14 04:54:21 2018,14293.8
Sun Jan 14 04:49:22 2018,14272.5
Sun Jan 14 04:44:22 2018,14269.8
Sun Jan 14 04:39:22 2018,14319.1
Sun Jan 14 04:34:21 2018,14402
Sun Jan 14 04:29:22 2018,14449.9
Sun Jan 14 04:24:22 2018,14439
Sun Jan 14 04:19:22 2018,14461.6
Sun Jan 14 04:14:21 2018,14481.1
Sun Jan 14 04:09:22 2018,14483
Sun Jan 14 04:04:22 2018,14448.8
Sun Jan 14 03:59:21 2018,14440.3
Sun Jan 14 03:54:22 2018,14458.7
Sun Jan 14 03:49:22 2018,14486.2
Sun Jan 14 03:44:22 2018,14495.9
Sun Jan 14 03:39:21 2018,14474.7
Sun Jan 14 03:34:21 2018,14447.2
Sun Jan 14 03:29:21 2018,14455
Sun Jan 14 03:24:22 2018,14446.7
Sun Jan 14 03:19:22 2018,14432
Sun Jan 14 03:14:22 2018,14478.3
Sun Jan 14 03:09:22 2018,14416.5
Sun Jan 14 03:04:22 2018,14428.1
Sun Jan 14 02:59:23 2018,14437.6
Sun Jan 14 02:54:23 2018,14437.6
Sun Jan 14 02:49:22 2018,14420.9
Sun Jan 14 02:44:22 2018,14424.6
Sun Jan 14 02:39:22 2018,14410.1
Sun Jan 14 02:34:22 2018,14418.9
Sun Jan 14 02:29:21 2018,14412.2
Sun Jan 14 02:24:22 2018,14387.3
Sun Jan 14 02:19:22 2018,14424.2
Sun Jan 14 02:14:22 2018,14438.4
Sun Jan 14 02:09:22 2018,14432.8
Sun Jan 14 02:04:22 2018,14446.5
Sun Jan 14 01:59:22 2018,14467
Sun Jan 14 01:54:22 2018,14453.8
Sun Jan 14 01:49:23 2018,14483.7
Sun Jan 14 01:44:23 2018,14479.3
Sun Jan 14 01:39:22 2018,14492.9
Sun Jan 14 01:34:20 2018,14497.3
Sun Jan 14 01:29:22 2018,14491.7
Sun Jan 14 01:24:22 2018,14481.2
Sun Jan 14 01:19:21 2018,14471.8
Sun Jan 14 01:14:22 2018,14464.7
Sun Jan 14 01:09:23 2018,14445
Sun Jan 14 01:04:22 2018,14413
Sun Jan 14 00:59:22 2018,14391.5
Sun Jan 14 00:54:22 2018,14421
Sun Jan 14 00:49:22 2018,14424.9
Sun Jan 14 00:44:21 2018,14415
Sun Jan 14 00:39:22 2018,14418.3
Sun Jan 14 00:34:21 2018,14431.3
Sun Jan 14 00:29:22 2018,14396.5
Sun Jan 14 00:24:20 2018,14365.7
Sun Jan 14 00:19:23 2018,14371.3
Sun Jan 14 00:14:22 2018,14367.2
Sun Jan 14 00:09:21 2018,14459.6
Sun Jan 14 00:04:22 2018,14502
Sat Jan 13 23:59:21 2018,14494.2
