date,price
Mon Jan 15 00:44:08 2018,1290.35
Mon Jan 15 00:39:09 2018,1288.87
Mon Jan 15 00:34:09 2018,1296.88
Mon Jan 15 00:29:09 2018,1304.86
Mon Jan 15 00:24:09 2018,1308.17
Mon Jan 15 00:19:09 2018,1311.72
Mon Jan 15 00:14:10 2018,1316.54
Mon Jan 15 00:09:09 2018,1322.77
Mon Jan 15 00:04:09 2018,1327.04
Sun Jan 14 23:59:09 2018,1327.05
Sun Jan 14 23:54:09 2018,1328.02
Sun Jan 14 23:49:10 2018,1330.13
Sun Jan 14 23:44:10 2018,1328.94
Sun Jan 14 23:39:09 2018,1330.36
Sun Jan 14 23:34:10 2018,1328.79
Sun Jan 14 23:29:11 2018,1331.52
Sun Jan 14 23:24:09 2018,1335.3
Sun Jan 14 23:19:10 2018,1337.72
Sun Jan 14 23:14:09 2018,1337.72
Sun Jan 14 23:09:10 2018,1338.24
Sun Jan 14 23:04:10 2018,1339.51
Sun Jan 14 22:59:10 2018,1340.43
Sun Jan 14 22:54:10 2018,1333.89
Sun Jan 14 22:49:10 2018,1330.67
Sun Jan 14 22:44:09 2018,1332.68
Sun Jan 14 22:39:10 2018,1331.95
Sun Jan 14 22:34:09 2018,1331.88
Sun Jan 14 22:29:09 2018,1326.76
Sun Jan 14 22:24:09 2018,1324.17
Sun Jan 14 22:19:09 2018,1325.48
Sun Jan 14 22:14:11 2018,1316.44
Sun Jan 14 22:09:10 2018,1305.96
Sun Jan 14 22:04:11 2018,1302.06
Sun Jan 14 21:59:09 2018,1302.55
Sun Jan 14 21:54:09 2018,1302.55
Sun Jan 14 21:49:09 2018,1302.19
Sun Jan 14 21:44:10 2018,1307.01
Sun Jan 14 21:39:09 2018,1314.37
Sun Jan 14 21:34:10 2018,1319.46
Sun Jan 14 21:29:10 2018,1319.15
Sun Jan 14 21:24:09 2018,1318.18
Sun Jan 14 21:19:10 2018,1320.35
Sun Jan 14 21:14:09 2018,1328.99
Sun Jan 14 21:09:08 2018,1335.07
