date,price,buy_volume,sell_volume,sum_buy,sum_sell,sum_volume
Mon Jan 15 08:34:20 2018,13847.2,1,0,13847.2,0,1
Mon Jan 15 08:29:21 2018,13807.8,1,0,13807.8,0,1
Mon Jan 15 08:24:22 2018,13792.4,1,0,13792.4,0,1
Mon Jan 15 08:19:22 2018,13791.1,1,0,13791.1,0,1
Mon Jan 15 08:14:23 2018,13778.5,1,0,13778.5,0,1
Mon Jan 15 08:09:21 2018,13731.5,1,0,13731.5,0,1
Mon Jan 15 08:04:21 2018,13717.5,1,0,13717.5,0,1
Mon Jan 15 07:59:22 2018,13676.8,1,0,13676.8,0,1
Mon Jan 15 07:54:22 2018,13664.9,1,0,13664.9,0,1
Mon Jan 15 07:49:22 2018,13658.4,1,0,13658.4,0,1
Mon Jan 15 07:44:23 2018,13647.5,1,0,13647.5,0,1
Mon Jan 15 07:39:22 2018,13626.6,1,0,13626.6,0,1
Mon Jan 15 07:34:23 2018,13612.6,0,0,0,0,0
Mon Jan 15 07:29:22 2018,13610.5,0,0,0,0,0
Mon Jan 15 07:24:22 2018,13605.7,0,0,0,0,0
Mon Jan 15 07:19:22 2018,13606.0,1,0,13606.0,0,1
Mon Jan 15 07:14:22 2018,13600.2,0,0,0,0,0
Mon Jan 15 07:09:23 2018,13586.2,0,0,0,0,0
Mon Jan 15 07:04:22 2018,13581.4,0,0,0,0,0
Mon Jan 15 06:59:22 2018,13586.2,0,0,0,0,0
Mon Jan 15 06:54:22 2018,13566.2,0,1,0,13566.2,-1
Mon Jan 15 06:49:22 2018,13590.6,0,0,0,0,1
Mon Jan 15 06:44:22 2018,13618.9,0,0,0,0,0
Mon Jan 15 06:39:22 2018,13630.8,1,0,13630.8,0,1
Mon Jan 15 06:34:22 2018,13626.4,1,0,13626.4,0,1
Mon Jan 15 06:29:22 2018,13604.1,0,0,0,0,0
Mon Jan 15 06:24:22 2018,13590.8,0,0,0,0,0
Mon Jan 15 06:19:22 2018,13589.2,0,1,0,13589.2,-1
Mon Jan 15 06:14:21 2018,13609.7,0,0,0,0,1
Mon Jan 15 06:09:21 2018,13627.3,0,0,0,0,0
Mon Jan 15 06:04:23 2018,13638.4,1,0,13638.4,0,1
Mon Jan 15 05:59:22 2018,13603.9,1,0,13603.9,0,1
Mon Jan 15 05:54:21 2018,13567.0,1,0,13567.0,0,1
Mon Jan 15 05:49:22 2018,13518.7,0,0,0,0,0
Mon Jan 15 05:44:22 2018,13506.1,0,0,0,0,0
Mon Jan 15 05:39:22 2018,13495.2,0,1,0,13495.2,-1
Mon Jan 15 05:34:21 2018,13505.6,0,1,0,13505.6,0
Mon Jan 15 05:29:23 2018,13542.3,0,0,0,0,1
Mon Jan 15 05:24:22 2018,13572.6,0,0,0,0,0
Mon Jan 15 05:19:22 2018,13575.1,0,0,0,0,0
Mon Jan 15 05:14:21 2018,13534.8,0,0,0,0,0
Mon Jan 15 05:09:23 2018,13507.9,0,1,0,13507.9,-1
Mon Jan 15 05:04:21 2018,13526.0,0,1,0,13526.0,0
Mon Jan 15 04:59:22 2018,13557.7,0,1,0,13557.7,0
Mon Jan 15 04:54:21 2018,13582.1,0,1,0,13582.1,0
Mon Jan 15 04:49:21 2018,13615.6,0,1,0,13615.6,0
Mon Jan 15 04:44:22 2018,13648.0,0,1,0,13648.0,0
Mon Jan 15 04:39:22 2018,13657.5,0,1,0,13657.5,0
Mon Jan 15 04:34:22 2018,13683.9,0,1,0,13683.9,0
Mon Jan 15 04:29:21 2018,13700.6,0,0,0,0,1
Mon Jan 15 04:24:22 2018,13707.9,0,0,0,0,0
Mon Jan 15 04:19:22 2018,13713.2,1,0,13713.2,0,1
Mon Jan 15 04:14:23 2018,13711.6,1,0,13711.6,0,1
Mon Jan 15 04:09:22 2018,13703.9,1,0,13703.9,0,1
Mon Jan 15 04:04:22 2018,13683.3,0,0,0,0,0
Mon Jan 15 03:59:22 2018,13665.0,0,0,0,0,0
Mon Jan 15 03:54:21 2018,13662.0,0,0,0,0,0
Mon Jan 15 03:49:22 2018,13679.9,0,0,0,0,0
Mon Jan 15 03:44:22 2018,13720.7,0,0,0,0,0
Mon Jan 15 03:39:21 2018,13708.0,0,0,0,0,0
Mon Jan 15 03:34:21 2018,13716.5,0,0,0,0,0
Mon Jan 15 03:29:22 2018,13719.8,1,0,13719.8,0,1
Mon Jan 15 03:24:22 2018,13719.6,1,0,13719.6,0,1
Mon Jan 15 03:19:20 2018,13710.9,0,0,0,0,0
Mon Jan 15 03:14:22 2018,13677.2,0,0,0,0,0
Mon Jan 15 03:09:21 2018,13647.2,0,0,0,0,0
Mon Jan 15 03:04:21 2018,13669.2,1,0,13669.2,0,1
Mon Jan 15 02:59:22 2018,13664.9,1,0,13664.9,0,1
Mon Jan 15 02:54:21 2018,13622.9,1,0,13622.9,0,1
Mon Jan 15 02:49:21 2018,13536.0,1,0,13536.0,0,1
Mon Jan 15 02:44:21 2018,13510.0,1,0,13510.0,0,1
Mon Jan 15 02:39:22 2018,13495.6,1,0,13495.6,0,1
Mon Jan 15 02:34:22 2018,13486.0,0,0,0,0,0
Mon Jan 15 02:29:21 2018,13451.3,0,0,0,0,0
Mon Jan 15 02:24:20 2018,13429.2,0,1,0,13429.2,-1
Mon Jan 15 02:19:21 2018,13452.6,0,0,0,0,1
Mon Jan 15 02:14:21 2018,13462.8,0,0,0,0,0
Mon Jan 15 02:09:21 2018,13475.7,1,0,13475.7,0,1
Mon Jan 15 02:04:21 2018,13475.1,1,0,13475.1,0,1
Mon Jan 15 01:59:20 2018,13431.8,0,0,0,0,0
Mon Jan 15 01:54:22 2018,13395.0,0,0,0,0,0
Mon Jan 15 01:49:22 2018,13387.7,0,1,0,13387.7,-1
Mon Jan 15 01:44:21 2018,13403.8,0,0,0,0,1
Mon Jan 15 01:39:21 2018,13411.6,0,0,0,0,0
Mon Jan 15 01:34:21 2018,13420.7,1,0,13420.7,0,1
Mon Jan 15 01:29:21 2018,13394.7,1,0,13394.7,0,1
Mon Jan 15 01:24:22 2018,13364.6,0,0,0,0,0
Mon Jan 15 01:19:22 2018,13296.4,0,0,0,0,0
Mon Jan 15 01:14:21 2018,13288.5,0,0,0,0,0
Mon Jan 15 01:09:22 2018,13300.9,0,0,0,0,0
Mon Jan 15 01:04:20 2018,13363.1,1,0,13363.1,0,1
Mon Jan 15 00:59:21 2018,13346.5,1,0,13346.5,0,1
Mon Jan 15 00:54:21 2018,13318.5,0,0,0,0,0
Mon Jan 15 00:49:21 2018,13272.4,0,0,0,0,0
Mon Jan 15 00:44:21 2018,13268.0,0,1,0,13268.0,-1
Mon Jan 15 00:39:21 2018,13328.9,0,1,0,13328.9,0
Mon Jan 15 00:34:21 2018,13415.1,0,1,0,13415.1,0
Mon Jan 15 00:29:21 2018,13472.3,0,1,0,13472.3,0
Mon Jan 15 00:24:23 2018,13515.3,0,1,0,13515.3,0
Mon Jan 15 00:19:22 2018,13542.7,0,1,0,13542.7,0
Mon Jan 15 00:14:22 2018,13598.1,0,0,0,0,1
Mon Jan 15 00:09:22 2018,13657.2,0,0,0,0,0
Mon Jan 15 00:04:20 2018,13706.4,0,0,0,0,0
Sun Jan 14 23:59:21 2018,13704.7,0,0,0,0,0
Sun Jan 14 23:54:21 2018,13696.4,0,0,0,0,0
Sun Jan 14 23:49:22 2018,13699.7,0,0,0,0,0
Sun Jan 14 23:44:22 2018,13659.6,0,0,0,0,0
